Year,Name,Institution,URI
1968,Brenda Matfield,Westfield College,http://www.digitalhps.org/concepts/CON74a14714-8a3f-4a6a-8244-09a8dcd3908c
1968,Janis Antonovics,University of Stirling,http://www.digitalhps.org/concepts/CON0105095b-fdd4-4bbe-b3bc-ff668d7c298f
1968,Joseph Smartt,University of Southampton,http://www.digitalhps.org/concepts/CONfc0efd07-c129-47a2-8d20-094afeeda96e
1968,E. Robert Creed,University of Oxford,
1968,Richard J. Abbott,University of Oxford,http://www.digitalhps.org/concepts/CONe416f4ab-b2ab-4f95-8067-b8098120edfa
1968,J. R. Whitcombe,University of Nottingham,
1968,Ursula Philip,University of Newcastle-upon-Tyne,
1968,T. Dobson,University of Newcastle-upon-Tyne,
1968,Arthur James Cain,University of Manchester,http://www.digitalhps.org/concepts/CON8cdc1729-4338-4f35-aa97-f86f69a5c4e8
1968,Richard W. Arnold,University of Manchester,
1968,Alan John Gray,University of Keele,http://www.digitalhps.org/concepts/CON757d0e25-4cf2-4b19-b1f5-8aaa623cf3fc
1968,Jeremy John Denis Greenwood,University of Dundee,http://www.digitalhps.org/concepts/CONc1a9bc34-ed81-49f6-a96a-903d6b9665e7
1968,Howard Lewis Gabe,University of Cambridge,
1968,Martin C. Lewis,University of Birmingham,http://www.digitalhps.org/concepts/CONaa856378-c5a5-4da2-8cb5-a79737906e64
1968,Thomas C. Long,"University of Wales, Swansea",
1968,Robert James Berry,University College of London,http://www.digitalhps.org/concepts/CONf4c62aa8-9fd4-40df-8b00-32d71c4ccb77
1969,W. Ellis Davies,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON9234669d-7685-42dd-8724-930590a84523
1969,Allen H. Charles,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONb3cfa5ea-1e67-4f82-8730-a26825601a6a
1969,David R. Lees,University of Oxford,http://www.digitalhps.org/concepts/CON45841d8e-d1f7-4960-a984-c16cf282cc3c
1969,Stanley Reginald John Woodell,University of Oxford,http://www.digitalhps.org/concepts/CONd65a4af6-75f4-4dde-b019-69b5a4ab60d9
1969,E. Pickering,University of Manchester,
1969,J. A. Trefor Woodford,University of Cambridge,http://www.digitalhps.org/concepts/CON9dfcdd8b-12e4-4eab-be9a-7f2b138dbabd
1969,Martin C. Lewis,University of Birmingham,http://www.digitalhps.org/concepts/CONaa856378-c5a5-4da2-8cb5-a79737906e64
1969,Dennis A. Wilkins,University of Birmingham,http://www.digitalhps.org/concepts/CON78ddae16-d1a4-49c6-9331-1a75ebf292ec
1969,John Moyse,"University of Wales, Swansea",
1969,Quentin Oliver Newton Kay,"University of Wales, Swansea",http://www.digitalhps.org/concepts/CON8b26af78-426c-4c01-bb1d-b6eba1ccbac4
1969,John A. Beardmore,"University of Wales, Swansea",http://www.digitalhps.org/concepts/CON0fa181a0-2d89-4e0a-a0ec-6dffaba51cee
1969,Jeffrey G. Duckett,University College of London,http://www.digitalhps.org/concepts/CON7447c9ab-d8a3-4429-92b5-d438cbe7bf08
1969,Keith Jones,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CON61bec15b-5bdc-4395-86ce-ec2d1cf72d49
1970,Peter James Goodman,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON981361a0-1a3a-41a6-b8c7-5c8a36d3ce67
1970,Colin F. Eagles,Welsh Plant Breeding Station,
1970,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1970,Michael D. Hayward,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONdcf8ce99-b3cd-4497-992a-cfb10f382cd8
1970,Symons,W[??],
1970,Martin C. Lewis,University of York,http://www.digitalhps.org/concepts/CONaa856378-c5a5-4da2-8cb5-a79737906e64
1970,Brian S. Rushton,University of York,
1970,Gillian M. Fearn,University of Sheffield,http://www.digitalhps.org/concepts/CON3fbd251b-83a5-4f40-879c-7afcaffa34eb
1970,John K. Jones,University of Reading,http://www.digitalhps.org/concepts/CON3d39e5b7-297c-41b5-80d1-9fea5996018c
1970,John Richards,University of Oxford,
1970,William Jack Whittington,University of Nottingham,
1970,David J. Harberd,University of Leeds,http://www.digitalhps.org/concepts/CON56beedc2-570a-4da8-bd0c-801046efb849
1970,Michael John Harvey,University of Cambridge,
1970,Stuart Max Walters,University of Cambridge,http://www.digitalhps.org/concepts/CON71ff9fc7-cc4c-42f0-9de8-c92e32a25f6e
1970,John Gregory Hawkes,University of Birmingham,http://www.digitalhps.org/concepts/CON1ad6598e-d149-43bb-8368-b6757186b6ba
1970,Alice M. Evans,University of Birmingham,http://www.digitalhps.org/concepts/CON39f110f1-f122-4d59-870d-eca8b3df0bd0
1970,J. N. Davies,"University of Wales, Aberystwyth",
1970,C. P. Carroll,Scottish Plant Breeding Station,http://www.digitalhps.org/concepts/CON78e48ebc-6fc8-4b2f-9223-140fa61bd441
1970,J. T. Walker,Scottish Plant Breeding Station,
1970,Christopher J. Marchant,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CONfd964f1a-9dfc-4eeb-8d4d-adb5f8340ff8
1970,G. C. M. Sage,Plant Breeding Institute,
1970,David D. Shaw,University of Southampton,
1970,D. T. Aldrich,National Institute for Agricultural Botany,
1970,Richard Hook Richens,University of Cambridge,http://www.digitalhps.org/concepts/CON14acac10-e4de-410c-98fe-2f615ef8c35a
1971,Colin F. Eagles,Welsh Plant Breeding Station,
1971,Kenneth J. Treharne,Welsh Plant Breeding Station,
1971,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1971,"Anthony ""Tony"" H. D. Brown",University of York,http://www.digitalhps.org/concepts/CON7f9a0c24-fa76-4478-8166-bf6e158a4bac
1971,Quentin Oliver Newton Kay,"University of Wales, Swansea",http://www.digitalhps.org/concepts/CON8b26af78-426c-4c01-bb1d-b6eba1ccbac4
1971,Peter Hull,University of Strathclyde,http://www.digitalhps.org/concepts/CONb7887d6c-ff68-4a06-87fb-20d8c93daa47
1971,Joseph Watson,University of Stirling,
1971,Heather Dickinson,University of Stirling,http://www.digitalhps.org/concepts/CONba3b4d17-ef7b-457f-aa4b-9641d7349d34
1971,Janis Antonovics,University of Stirling,http://www.digitalhps.org/concepts/CON0105095b-fdd4-4bbe-b3bc-ff668d7c298f
1971,Henry A. Ford,University of Stirling,
1971,J. Timothy Gleaves,University of Liverpool,
1971,Diana Dorothy Warwick,University of Liverpool,
1971,Anthony David Bradshaw,University of Liverpool,http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1971,Thomas S. McNeilly,University of Liverpool,http://www.digitalhps.org/concepts/CONdecfc7fc-ede8-45e7-a3c5-134b3b9539cd
1971,L. R. Staines,University of Keele,
1971,John Hamblin,University of Cambridge,
1971,H. Murphy,University College of London,
1971,Robert James Berry,University College of London,http://www.digitalhps.org/concepts/CONf4c62aa8-9fd4-40df-8b00-32d71c4ccb77
1971,Peter A. Thompson,"Royal Botanical Gardens, Kew",
1971,Peter E. Brandham,"Royal Botanical Gardens, Kew",
1971,David F. Cutler,"Royal Botanical Gardens, Kew",http://www.digitalhps.org/concepts/CONc617141b-651c-42a2-b514-f988aa81b7cf
1971,Richard C. Hardwick,National Vegetable Research Station,http://www.digitalhps.org/concepts/CONa34d9e3e-dad1-4238-8591-3d03f7c2a778
1971,W. Lewis,Carshalton,
1972,John Valentine,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CON64396fd3-6ead-4885-9c89-1fd84072d643
1972,Martin C. Lewis,University of York,http://www.digitalhps.org/concepts/CONaa856378-c5a5-4da2-8cb5-a79737906e64
1972,"Anthony ""Tony"" H. D. Brown",University of York,http://www.digitalhps.org/concepts/CON7f9a0c24-fa76-4478-8166-bf6e158a4bac
1972,John R. G. Turner,University of York,http://www.digitalhps.org/concepts/CONdf715751-f58e-4bb7-8cc4-4008b8ef5357
1972,John Maynard Smith,University of Sussex,http://www.digitalhps.org/concepts/CON59e3f164-62f2-40c1-87ab-dd3665a27e0a
1972,Roy William Snaydon,University of Reading,http://www.digitalhps.org/concepts/CON2a9462bb-608f-4a64-9ae6-f8ebedbc018c
1972,Bryan C. Clarke,University of Nottingham,http://www.digitalhps.org/concepts/CON9b077f90-cc1a-4d15-b87e-cdf582b8cf8e
1972,Terry V. Callaghan,University of Manchester,
1972,Anthony David Bradshaw,University of Liverpool,http://www.digitalhps.org/concepts/72ec32b4-2a20-4d26-ab8f-a173f067542d
1972,David J. Harberd,University of Leeds,http://www.digitalhps.org/concepts/CON56beedc2-570a-4da8-bd0c-801046efb849
1972,Robert McNeill Alexander,University of Leeds,http://www.digitalhps.org/concepts/CONa68b9741-0e93-4522-8ac0-96a3fb39d102
1972,Harold W. Woolhouse,University of Leeds,http://www.digitalhps.org/concepts/CON657552be-c7cc-4a83-a0d2-3e47b356aa4f
1972,Hugh A. McAllister,University of Glasgow,http://www.digitalhps.org/concepts/CON2f413a56-a635-44a1-9faa-c7a45e63637b
1972,Richard C. Lewontin,University of Chicago,
1972,M. S. Davies,"University of Wales, Cardiff",
1972,John Lander Harper,"University College of North Wales, Bangor",http://www.digitalhps.org/concepts/CON64cec53e-eac9-4416-be2b-27d57b0e9f70
1972,Richard J. Abbott,University of Oxford,http://www.digitalhps.org/concepts/CONe416f4ab-b2ab-4f95-8067-b8098120edfa
1972,J. S. Faulkner,Northern Ireland Ministry of Agriculture,
1972,George R. Fraser,Memorial University of Newfoundland,
1972,Alan John Gray,Nature Conservancy,http://www.digitalhps.org/concepts/CON757d0e25-4cf2-4b19-b1f5-8aaa623cf3fc
1972,David A. Jones,University of Birmingham,http://www.digitalhps.org/concepts/CONe42d152b-2f53-4893-9b48-af36d6fd6905
1972,P. F. Parker,,http://www.digitalhps.org/concepts/CON2aad8054-f866-433d-a4c8-0301f1e3fc48
1973,Martin Borrill,Welsh Plant Breeding Station,http://www.digitalhps.org/concepts/CONa8e1df92-34a8-42c6-a56d-b0fb010184ce
1973,Adam Dale,University of Sheffield,http://www.digitalhps.org/concepts/CONe64a3961-de78-47a5-8199-5e71ad2aa381
1973,Gillian M. Fearn,University of Sheffield,http://www.digitalhps.org/concepts/CON3fbd251b-83a5-4f40-879c-7afcaffa34eb
1973,Trevor Thomas Elkington,University of Sheffield,http://www.digitalhps.org/concepts/CONc2771ebb-2e5b-438d-a29b-00cadc547729
1973,David T. Parkin,University of Nottingham,
1973,Denis W. Gartside,University of Liverpool,
